"Home","Score","Away","Score"
"LAD",4,"SFG",3
"SDP",2,"ANA",3
"STL",4,"WSN",2
"KCR",5,"TOR",6
"HOU",12,"COL",1
"ATL",5,"FLA",2
"CIN",3,"CLE",4
"NYY",1,"TBD",6
"BAL",5,"NYM",16
"PHI",7,"BOS",4
"OAK",0,"SEA",2
"CHC",8,"MIL",4
"MIN",6,"PIT",4
"DET",5,"CHW",6
"SDP",3,"ANA",7
"LAD",1,"SFG",2
"OAK",3,"SEA",2
"STL",6,"WSN",4
"KCR",5,"TOR",6
"MIN",5,"PIT",2
"HOU",1,"COL",5
"TEX",4,"ARI",6
"ATL",10,"FLA",6
"DET",3,"CHW",6
"CIN",1,"CLE",8
"PHI",1,"BOS",2
"NYY",4,"TBD",1
"BAL",6,"NYM",3
"CHC",0,"MIL",7
"SDP",3,"ANA",6
"LAD",2,"SFG",5
"OAK",7,"SEA",6
"KCR",3,"TOR",1
"TEX",5,"ARI",3
"STL",7,"WSN",6
"ATL",6,"FLA",1
"DET",9,"CHW",5
"CIN",3,"CLE",10
"NYY",5,"NYM",8
"ATL",9,"FLA",1
"CHC",4,"WSN",3
"ANA",7,"OAK",8
"SFG",4,"PIT",3
"SDP",9,"PHI",3
"COL",4,"LAD",3
"KCR",2,"STL",8
"HOU",3,"SEA",4
"CHW",7,"CLE",9
"ATL",8,"MIL",7
"FLA",3,"NYM",4
"DET",4,"MIN",2
"CIN",2,"ARI",9
"TOR",2,"TBD",1
"NYY",7,"TEX",2
"BAL",1,"BOS",4
"ANA",0,"OAK",7
"SFG",0,"PIT",4
"SDP",1,"PHI",5
"COL",3,"LAD",2
"BAL",4,"BOS",6
"KCR",3,"STL",8
"HOU",2,"SEA",3
"FLA",4,"NYM",3
"CHW",1,"CLE",3
"ATL",2,"MIL",4
"CIN",6,"ARI",3
"DET",3,"MIN",4
"TOR",1,"TBD",3
"CHC",4,"WSN",9
"NYY",5,"TEX",3
"BAL",0,"BOS",5
"SFG",13,"PIT",10
"SDP",2,"PHI",0
"ANA",4,"OAK",3
"COL",5,"LAD",4
"KCR",0,"STL",7
"HOU",2,"SEA",5
"CHW",1,"CLE",0
"ATL",10,"MIL",1
"FLA",2,"NYM",6
"DET",5,"MIN",3
"CIN",3,"ARI",0
"TOR",0,"TBD",7
"NYY",7,"TEX",12
"BAL",12,"BOS",19
"CHC",3,"WSN",2
"SFG",5,"PIT",10
"COL",5,"LAD",8
"HOU",6,"SEA",8
"TBD",5,"BAL",4
"TOR",8,"BOS",5
"NYY",7,"TEX",3
"MIL",4,"SDP",8
"CLE",5,"MIN",4
"WSN",6,"ATL",3
"OAK",3,"LAD",2
"KCR",9,"CHC",0
"MIL",8,"SDP",4
"CHW",3,"NYY",7
"FLA",1,"STL",7
"CLE",5,"MIN",2
"TOR",5,"BOS",10
"WSN",3,"ATL",8
"TBD",4,"BAL",5
"ANA",6,"DET",0
"ARI",6,"PHI",0
"COL",3,"PIT",4
"TEX",11,"SEA",7
"NYM",8,"CIN",0
"ANA",11,"DET",5
"OAK",2,"LAD",4
"ARI",2,"PHI",5
"COL",2,"PIT",10
"KCR",0,"CHC",5
"MIL",5,"SDP",11
"CHW",3,"NYY",4
"TEX",11,"SEA",4
"TBD",4,"BAL",3
"NYM",1,"CIN",6
"FLA",2,"STL",3
"CLE",2,"MIN",3
"WSN",1,"ATL",3
"TOR",7,"BOS",10
"SFG",1,"HOU",2
"WSN",8,"ATL",3
"SFG",1,"HOU",3
"ANA",6,"DET",2
"ARI",3,"PHI",2
"COL",2,"PIT",0
"KCR",1,"CHC",3
"TEX",3,"SEA",4
"CHW",0,"NYY",7
"NYM",6,"CIN",4
"FLA",2,"STL",1
"CLE",10,"MIN",0
"BOS",5,"NYY",4
"SEA",6,"TOR",3
"LAD",3,"HOU",2
"OAK",6,"DET",0
"ARI",2,"SFG",3
"TEX",6,"BAL",9
"CHC",6,"SDP",10
"MIN",6,"KCR",5
"MIL",4,"COL",5
"WSN",2,"CIN",1
"PIT",1,"STL",2
"PHI",5,"FLA",3
"TBD",7,"CHW",8
"NYM",4,"ATL",5
"CLE",4,"ANA",3
"SEA",1,"TOR",5
"LAD",0,"HOU",14
"OAK",2,"DET",1
"ARI",9,"SFG",3
"TEX",3,"BAL",1
"NYM",3,"ATL",0
"MIN",8,"KCR",2
"MIL",8,"COL",4
"CLE",3,"ANA",0
"WSN",6,"CIN",2
"PIT",4,"STL",8
"PHI",8,"FLA",3
"TBD",1,"CHW",2
"BOS",4,"NYY",1
"CHC",5,"SDP",4
"WSN",1,"CIN",7
"SEA",2,"TOR",7
