ELO, Team
1571,Houston Rockets
1661,Toronto Raptors
1722,Golden State Warriors
1634,Utah Jazz
1543,Portland Trail Blazers
1663,Oklahoma City Thunder
1657,Philadelphia 76ers
1666,Boston Celtics
1549,Minnesota Timberwolves
1489,Los Angeles Clippers
1462,San Antonio Spurs
1459,Washington Wizards
1534,New Orleans Pelicans
1570,Denver Nuggets
1566,Indiana Pacers
1235,Cleveland Cavaliers
1544,Los Angeles Lakers
1632,Milwaukee Bucks
1483,Miami Heat
1502,Charlotte Hornets
1467,Dallas Mavericks
1497,Detroit Pistons
1335,Chicago Bulls
1429,Orlando Magic
1274,New York Knicks
1462,Brooklyn Nets
1426,Sacramento Kings
1241,Atlanta Hawks
1521,Memphis Grizzlies
1358,Phoenix Suns
