"Home","Score","Away","Score"
"Cleveland Cavaliers",102,"Boston Celtics",99
"Golden State Warriors",121,"Houston Rockets",122
"Boston Celtics",100,"Milwaukee Bucks",108
"Dallas Mavericks",111,"Atlanta Hawks",117
"Detroit Pistons",102,"Charlotte Hornets",90
"Indiana Pacers",140,"Brooklyn Nets",131
"Memphis Grizzlies",103,"New Orleans Pelicans",91
"Orlando Magic",116,"Miami Heat",109
"Phoenix Suns",76,"Portland Trail Blazers",124
"Sacramento Kings",100,"Houston Rockets",105
"San Antonio Spurs",107,"Minnesota Timberwolves",99
"Utah Jazz",106,"Denver Nuggets",96
"Washington Wizards",120,"Philadelphia 76ers",115
"Los Angeles Lakers",92,"Los Angeles Clippers",108
"Oklahoma City Thunder",105,"New York Knicks",84
"Toronto Raptors",117,"Chicago Bulls",100
"Brooklyn Nets",126,"Orlando Magic",121
"Charlotte Hornets",109,"Atlanta Hawks",91
"Dallas Mavericks",88,"Sacramento Kings",93
"Indiana Pacers",96,"Portland Trail Blazers",114
"Milwaukee Bucks",97,"Cleveland Cavaliers",116
"Minnesota Timberwolves",100,"Utah Jazz",97
"New Orleans Pelicans",120,"Golden State Warriors",128
"Philadelphia 76ers",92,"Boston Celtics",102
"Phoenix Suns",130,"Los Angeles Lakers",132
"Washington Wizards",115,"Detroit Pistons",111
"Chicago Bulls",77,"San Antonio Spurs",87
"Cleveland Cavaliers",93,"Orlando Magic",114
"Denver Nuggets",96,"Sacramento Kings",79
"Houston Rockets",107,"Dallas Mavericks",91
"Los Angeles Clippers",130,"Phoenix Suns",88
"Memphis Grizzlies",111,"Golden State Warriors",101
"Miami Heat",112,"Indiana Pacers",108
"Milwaukee Bucks",113,"Portland Trail Blazers",110
"New York Knicks",107,"Detroit Pistons",111
"Toronto Raptors",128,"Philadelphia 76ers",94
"Utah Jazz",96,"Oklahoma City Thunder",87
"Brooklyn Nets",116,"Atlanta Hawks",104
"Los Angeles Lakers",112,"New Orleans Pelicans",119
"Oklahoma City Thunder",113,"Minnesota Timberwolves",115
"Dallas Mavericks",103,"Golden State Warriors",133
"Denver Nuggets",104,"Washington Wizards",109
"Detroit Pistons",86,"Philadelphia 76ers",97
"Houston Rockets",90,"Memphis Grizzlies",98
"Miami Heat",104,"Atlanta Hawks",93
"Milwaukee Bucks",103,"Charlotte Hornets",94
"Phoenix Suns",117,"Sacramento Kings",115
"San Antonio Spurs",101,"Toronto Raptors",97
"Boston Celtics",110,"New York Knicks",89
"Cleveland Cavaliers",119,"Chicago Bulls",112
"Los Angeles Clippers",102,"Utah Jazz",84
"Minnesota Timberwolves",107,"Indiana Pacers",130
"Orlando Magic",125,"Brooklyn Nets",121
"Portland Trail Blazers",103,"New Orleans Pelicans",93
"Brooklyn Nets",112,"Cleveland Cavaliers",107
"Charlotte Hornets",110,"Denver Nuggets",93
"Dallas Mavericks",103,"Memphis Grizzlies",94
"Detroit Pistons",122,"Minnesota Timberwolves",101
"Golden State Warriors",117,"Toronto Raptors",112
"Los Angeles Lakers",102,"Washington Wizards",99
"Miami Heat",100,"San Antonio Spurs",117
"Oklahoma City Thunder",114,"Indiana Pacers",96
"Philadelphia 76ers",104,"Houston Rockets",105
"Phoenix Suns",97,"Utah Jazz",88
"Chicago Bulls",91,"Atlanta Hawks",86
"Memphis Grizzlies",96,"Dallas Mavericks",91
"Milwaukee Bucks",89,"Boston Celtics",96
"Portland Trail Blazers",103,"Los Angeles Clippers",104
"Sacramento Kings",106,"New Orleans Pelicans",114
"Atlanta Hawks",100,"Denver Nuggets",105
"Charlotte Hornets",93,"Houston Rockets",109
"Golden State Warriors",120,"Washington Wizards",117
"Los Angeles Lakers",92,"Toronto Raptors",101
"Minnesota Timberwolves",119,"Oklahoma City Thunder",116
"New York Knicks",107,"Brooklyn Nets",86
"Orlando Magic",114,"San Antonio Spurs",87
"Chicago Bulls",69,"Oklahoma City Thunder",101
"Dallas Mavericks",110,"Philadelphia 76ers",112
"Los Angeles Clippers",87,"Detroit Pistons",95
"Memphis Grizzlies",103,"Houston Rockets",89
"Miami Heat",90,"Boston Celtics",96
"New Orleans Pelicans",123,"Cleveland Cavaliers",101
"Portland Trail Blazers",114,"Phoenix Suns",107
"Utah Jazz",96,"Los Angeles Lakers",81
"Atlanta Hawks",106,"Milwaukee Bucks",117
"Brooklyn Nets",111,"Denver Nuggets",124
