"ELO","Team"
2421.18,"Nashville Predators"
2305.49,"Tampa Bay Lightning"
2294.51,"Boston Bruins"
2202.99,"Vegas Golden Knights"
2283.63,"Winnipeg Jets"
2308.86,"Toronto Maple Leafs"
2300.09,"Pittsburgh Penguins"
2227.04,"Washington Capitals"
2220.3,"San Jose Sharks"
2246.39,"Colorado Avalanche"
2252.83,"Minnesota Wild"
2318.74,"Florida Panthers"
2232.69,"Anaheim Ducks"
2262.22,"Columbus Blue Jackets"
2194.09,"Los Angeles Kings"
2194.05,"Dallas Stars"
2208.03,"New Jersey Devils"
2170.04,"Philadelphia Flyers"
2153.44,"St. Louis Blues"
2141.95,"Calgary Flames"
2143.81,"New York Rangers"
2090.42,"Carolina Hurricanes"
2067.72,"New York Islanders"
2161.98,"Edmonton Oilers"
2099.34,"Chicago Blackhawks"
2156.7,"Ottawa Senators"
2107.87,"Montreal Canadiens"
2210.8,"Arizona Coyotes"
2028.64,"Detroit Red Wings"
2164.58,"Buffalo Sabres"
2021.61,"Vancouver Canucks"
