"Home","Score","Away","Score"
"Edmonton Oilers",3,"Calgary Flames",0
"Pittsburgh Penguins",4,"St. Louis Blues",5
"San Jose Sharks",3,"Philadelphia Flyers",5
"Winnipeg Jets",2,"Toronto Maple Leafs",7
"Anaheim Ducks",5,"Arizona Coyotes",4
"Boston Bruins",4,"Nashville Predators",3
"Buffalo Sabres",2,"Montreal Canadiens",3
"Chicago Blackhawks",10,"Pittsburgh Penguins",1
"Detroit Red Wings",4,"Minnesota Wild",2
"Los Angeles Kings",2,"Philadelphia Flyers",0
"New York Rangers",2,"Colorado Avalanche",4
"Ottawa Senators",4,"Washington Capitals",5
"Columbus Blue Jackets",5,"New York Islanders",0
"Dallas Stars",1,"Vegas Golden Knights",2
"Tampa Bay Lightning",5,"Florida Panthers",3
"Anaheim Ducks",2,"Philadelphia Flyers",3
"Arizona Coyotes",1,"Vegas Golden Knights",2
"Carolina Hurricanes",5,"Minnesota Wild",4
"Calgary Flames",6,"Winnipeg Jets",3
"Chicago Blackhawks",5,"Columbus Blue Jackets",1
"Florida Panthers",5,"Tampa Bay Lightning",4
"New Jersey Devils",4,"Colorado Avalanche",1
"New York Islanders",6,"Buffalo Sabres",3
"Ottawa Senators",1,"Detroit Red Wings",2
"Pittsburgh Penguins",4,"Nashville Predators",0
"San Jose Sharks",1,"Los Angeles Kings",4
"St. Louis Blues",4,"Dallas Stars",2
"Toronto Maple Leafs",8,"New York Rangers",5
"Vancouver Canucks",3,"Edmonton Oilers",2
"Washington Capitals",6,"Montreal Canadiens",1
"New York Rangers",2,"Montreal Canadiens",0
"Anaheim Ducks",0,"Calgary Flames",2
"Boston Bruins",0,"Colorado Avalanche",4
"Buffalo Sabres",2,"New Jersey Devils",6
"Edmonton Oilers",2,"Winnipeg Jets",5
"New York Islanders",2,"St. Louis Blues",3
"Tampa Bay Lightning",4,"Washington Capitals",3
"Toronto Maple Leafs",4,"Chicago Blackhawks",3
"Carolina Hurricanes",1,"Columbus Blue Jackets",2
"Dallas Stars",4,"Detroit Red Wings",2
"Montreal Canadiens",1,"Chicago Blackhawks",3
"Nashville Predators",6,"Philadelphia Flyers",5
"New York Rangers",1,"St. Louis Blues",3
"Vancouver Canucks",2,"Ottawa Senators",3
"Vegas Golden Knights",5,"Arizona Coyotes",2
"Anaheim Ducks",3,"New York Islanders",2
"Colorado Avalanche",6,"Boston Bruins",3
"Los Angeles Kings",3,"Calgary Flames",4
"Toronto Maple Leafs",3,"New Jersey Devils",6
"Washington Capitals",2,"Pittsburgh Penguins",3
"Arizona Coyotes",2,"Detroit Red Wings",4
"Chicago Blackhawks",2,"Minnesota Wild",5
"Florida Panthers",5,"St. Louis Blues",2
"Nashville Predators",4,"Dallas Stars",1
"San Jose Sharks",3,"Buffalo Sabres",2
"Tampa Bay Lightning",5,"Pittsburgh Penguins",4
"Vancouver Canucks",2,"Winnipeg Jets",4
"Columbus Blue Jackets",3,"New York Rangers",1
"Calgary Flames",0,"Ottawa Senators",6
"Colorado Avalanche",3,"Anaheim Ducks",1
"New Jersey Devils",2,"Washington Capitals",5
"Vegas Golden Knights",3,"Detroit Red Wings",6
"Arizona Coyotes",2,"Boston Bruins",6
"Chicago Blackhawks",2,"Nashville Predators",1
"Dallas Stars",3,"Colorado Avalanche",1
"Edmonton Oilers",1,"Ottawa Senators",6
"Los Angeles Kings",4,"Buffalo Sabres",2
"Minnesota Wild",4,"Columbus Blue Jackets",5
"Montreal Canadiens",3,"Toronto Maple Leafs",4
"New York Rangers",2,"New Jersey Devils",3
"Philadelphia Flyers",8,"Washington Capitals",2
"Pittsburgh Penguins",4,"Florida Panthers",3
"San Jose Sharks",1,"New York Islanders",3
"Tampa Bay Lightning",2,"St. Louis Blues",1
"Vancouver Canucks",2,"Calgary Flames",5
"Winnipeg Jets",2,"Carolina Hurricanes",1
"Anaheim Ducks",1,"Buffalo Sabres",3
"Los Angeles Kings",3,"New York Islanders",2
"Vegas Golden Knights",3,"Boston Bruins",1
"Detroit Red Wings",2,"Tampa Bay Lightning",3
"Dallas Stars",3,"Arizona Coyotes",1
"Edmonton Oilers",3,"Carolina Hurricanes",5
"New Jersey Devils",5,"Tampa Bay Lightning",4
"Nashville Predators",4,"Colorado Avalanche",1
"New York Rangers",4,"Pittsburgh Penguins",5
"Ottawa Senators",0,"Vancouver Canucks",3
"Philadelphia Flyers",5,"Florida Panthers",1
"San Jose Sharks",5,"Montreal Canadiens",2
"Vegas Golden Knights",5,"Buffalo Sabres",4
"Winnipeg Jets",2,"Columbus Blue Jackets",5
"Washington Capitals",0,"Toronto Maple Leafs",2
"Los Angeles Kings",5,"Montreal Canadiens",1
"St. Louis Blues",5,"Chicago Blackhawks",2
"Toronto Maple Leafs",6,"Detroit Red Wings",3
"Arizona Coyotes",4,"Dallas Stars",5
"Boston Bruins",6,"Vancouver Canucks",3
"Columbus Blue Jackets",0,"Tampa Bay Lightning",2
"Calgary Flames",1,"Carolina Hurricanes",2
"Chicago Blackhawks",1,"Edmonton Oilers",2
"Colorado Avalanche",3,"St. Louis Blues",4
"New York Rangers",3,"New York Islanders",4
"Ottawa Senators",4,"New Jersey Devils",5
"Philadelphia Flyers",0,"Nashville Predators",1
"Anaheim Ducks",6,"Montreal Canadiens",2
"Buffalo Sabres",2,"Vancouver Canucks",4
"Detroit Red Wings",3,"Washington Capitals",4
"Florida Panthers",3,"Pittsburgh Penguins",4
"New Jersey Devils",0,"San Jose Sharks",3
"Winnipeg Jets",4,"Minnesota Wild",3
"Arizona Coyotes",2,"Chicago Blackhawks",4
"Boston Bruins",4,"Buffalo Sabres",5
"Columbus Blue Jackets",4,"Los Angeles Kings",6
"Calgary Flames",2,"Minnesota Wild",4
"Dallas Stars",4,"Carolina Hurricanes",3
"New York Islanders",5,"San Jose Sharks",3
"New York Rangers",4,"Nashville Predators",2
"Ottawa Senators",6,"Toronto Maple Leafs",3
"Philadelphia Flyers",2,"Edmonton Oilers",1
"Tampa Bay Lightning",7,"Pittsburgh Penguins",1
"Vegas Golden Knights",3,"St. Louis Blues",2
"Washington Capitals",1,"Florida Panthers",4
"Detroit Red Wings",1,"Vancouver Canucks",4
"New York Rangers",1,"San Jose Sharks",4
"Toronto Maple Leafs",3,"Los Angeles Kings",2
"Buffalo Sabres",1,"Detroit Red Wings",0
"Carolina Hurricanes",1,"Tampa Bay Lightning",5
"Colorado Avalanche",5,"Dallas Stars",3
"Minnesota Wild",0,"Vancouver Canucks",1
"Montreal Canadiens",5,"Florida Panthers",1
"Nashville Predators",2,"Calgary Flames",3
"New York Islanders",5,"Arizona Coyotes",3
"Ottawa Senators",2,"Los Angeles Kings",3
"Philadelphia Flyers",2,"Anaheim Ducks",6
"Pittsburgh Penguins",2,"Edmonton Oilers",1
"Vegas Golden Knights",4,"Chicago Blackhawks",2
"Columbus Blue Jackets",5,"Buffalo Sabres",1
"St. Louis Blues",5,"Calgary Flames",2
"Boston Bruins",2,"San Jose Sharks",1
